Veg Keema Kulcha Burger,₹239
Peri-Peri Paneer Kulcha Burger,₹308
Spicy Dilli Kulcha Burger,₹199
Peri-Peri Chicken Kulcha Burger,₹319
Veg Manchurian Gravy,₹198
Hakka Noodles (500g),₹280
Chilli Garlic Paneer,₹260
Chicken Manchurian Gravy,₹281
Chilli Garlic Chicken,₹330
Yellow Dal Tadka, Bhindi Chana & Jeera Pulao,₹229
Ghar Ke Rajma, Aloo Gobhi & Jeera Pulao,₹239
Butter Paneer, Aloo Gobhi & Jeera Pulao,₹268
Lasooni Methi Paneer, Soya Masala Sabzi & Jeera Pulao,₹259
Yellow Dal Tadka, Soya Masala Sabzi & Jeera Pulao,₹229
Dal Tadka, Bhindi Chana & Millet Pulao,₹239
Lasooni Methi Paneer, Soya Matar & Millet Pulao,₹258
Palak Paneer, Soya Matar & Millet Pulao,₹267
Butter Paneer, Bhindi Chana & Millet Pulao,₹268
Butter Chicken, Aloo Gobhi & Jeera Pulao,₹288
Lasooni Methi Chicken, Soya Masala Sabzi & Jeera Pulao,₹279
Lasooni Methi Chicken, Bhindi Chana & Jeera Pulao,₹279
Butter Chicken, Bhindi Chana & Millet Pulao,₹288
Palak Chicken, Soya Matar & Millet Pulao,₹287
Fruit Pop Oatmeal,₹209
Matcha Fruit Pop Oatmeal,₹239
Chocolate Fruit Pop,₹229
Mango Fruit Pop,₹219
Palak Paneer Deluxe Thali,₹398
Butter Paneer Deluxe Thali,₹407
Classic Tomato Basil Penne Pasta,₹288
Creamy Pesto Sauce Penne Pasta,₹299
Peri Peri Sauce Penne Pasta,₹279
Poha,₹139
Poha With Ratlami Sev,₹169
Baked Bhakarwadi (50g),₹59
Quinoa Bhujia (50g),₹69
Ragi Chips (50g),₹59
Millet Curd Rice,₹180
Signature Sabudana Khichdi,₹175
Dal Palak Khichdi,₹259
Whole Wheat Parathas (3pcs),₹68
Jeera Pulao (500g),₹149
Badam Kheer,₹79
Seviya Kheer,₹99
Mango Pudding,₹139
Chocolate Nutty Dates Pudding,₹99
Millet Sabudana Kheer,₹79
Panjiri Laddu (500g),₹399
Badam Kheer (400gm),₹153
Date Raisin Cake,₹79
